Jurisdiction,Year,Case Count
Florida,1850,22
Florida,1874,22
Florida,1861,22
Florida,1859,21
Florida,1851,21
Florida,1856,20
Florida,1854,19
Florida,1857,18
Florida,1852,15
Florida,1949,14
Florida,1846,13
Florida,1950,11
Florida,1873,11
Florida,1871,9
Florida,1864,7
Florida,1865,7
Florida,1862,4
Florida,1870,2
Florida,1828,1
Florida,1825,1
Florida,1840,1
Florida,1866,1
Alaska,1983,302
Alaska,1982,271
Alaska,1988,270
Alaska,1981,260
Alaska,1980,253
Alaska,1985,246
Alaska,1989,245
Alaska,1986,242
Alaska,1978,239
Alaska,1979,234
Alaska,2001,231
Alaska,1991,229
Alaska,1984,229
Alaska,1997,215
Alaska,1990,214
Alaska,1987,211
Alaska,1996,207
Alaska,1999,204
Alaska,2002,203
Alaska,1992,201
Alaska,1995,201
Alaska,2007,186
Alaska,1977,183
Alaska,2008,182
Alaska,2018,180
Alaska,2003,178
Alaska,1993,178
Alaska,2006,177
Alaska,2000,174
Alaska,2005,173
Alaska,1998,172
Alaska,1994,171
Alaska,2009,162
Alaska,2012,157
Alaska,2011,150
Alaska,2014,149
Alaska,2013,146
Alaska,2015,140
Alaska,1976,140
Alaska,2004,139
Alaska,1974,129
Alaska,2010,127
Alaska,2016,125
Alaska,1975,122
Alaska,2017,121
Alaska,1973,119
Alaska,2019,109
Alaska,1971,102
Alaska,1972,93
Alaska,1964,87
Alaska,1969,77
Alaska,1970,72
Alaska,1968,67
Alaska,1962,67
Alaska,1966,65
Alaska,1967,64
Alaska,1963,56
Alaska,1954,54
Alaska,1952,50
Alaska,1965,46
Alaska,1953,46
Alaska,1901,46
Alaska,1902,41
Alaska,1951,37
Alaska,1915,37
Alaska,1910,37
Alaska,1914,35
Alaska,1956,34
Alaska,1924,33
Alaska,1961,33
Alaska,1955,32
Alaska,1922,31
Alaska,1921,27
Alaska,1916,26
Alaska,1958,25
Alaska,1957,24
Alaska,1927,24
Alaska,1926,23
Alaska,1920,23
Alaska,1911,23
Alaska,1946,22
Alaska,1947,21
Alaska,1948,20
Alaska,1917,20
Alaska,1912,20
Alaska,1918,20
Alaska,1923,18
Alaska,1960,18
Alaska,1913,18
Alaska,1925,16
Alaska,1933,14
Alaska,1919,14
Alaska,1930,13
Alaska,1929,13
Alaska,1931,11
Alaska,1928,8
Alaska,1934,8
Alaska,1950,7
Alaska,1935,6
Alaska,1900,5
Alaska,1888,5
Alaska,1887,5
Alaska,1890,4
Alaska,1932,3
Alaska,1894,2
Alaska,1892,2
Alaska,1945,1
Alaska,1959,1
Alaska,1942,1
Arkansas,1980,767
Arkansas,1996,701
Arkansas,2017,684
Arkansas,1927,667
Arkansas,1994,658
Arkansas,1997,654
Arkansas,1985,637
Arkansas,1998,634
Arkansas,1928,626
Arkansas,1984,608
Arkansas,1989,606
Arkansas,2004,602
Arkansas,2000,601
Arkansas,1986,600
Arkansas,2016,600
Arkansas,1982,596
Arkansas,2018,596
Arkansas,1990,594
Arkansas,1992,588
Arkansas,2001,588
Arkansas,1987,585
Arkansas,1983,584
Arkansas,1995,581
Arkansas,2005,575
Arkansas,2003,573
Arkansas,1923,572
Arkansas,1993,571
Arkansas,1981,569
Arkansas,1917,565
Arkansas,1920,565
Arkansas,2006,557
Arkansas,1991,555
Arkansas,1999,555
Arkansas,1924,554
Arkansas,2002,554
Arkansas,2015,553
Arkansas,2007,551
Arkansas,1988,542
Arkansas,1922,540
Arkansas,2009,539
Arkansas,1916,536
Arkansas,2008,533
Arkansas,1915,529
Arkansas,1918,519
Arkansas,1925,513
Arkansas,1905,509
Arkansas,1930,506
Arkansas,1909,503
Arkansas,1912,499
Arkansas,1910,493
Arkansas,1926,492
